ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2020-09-15,160.753604,-31.11511076403834,218.6448547479982,160.753604,160.753604,-58.75947310130856,-58.75947310130856,-58.75947310130856,2.8193328075599093,2.8193328075599093,2.8193328075599093,-61.57880590886848,-61.57880590886848,-61.57880590886848,0.0,0.0,0.0,101.99413089869144
2020-09-16,160.75826423217072,-17.546230870787962,222.7308185960344,160.75826423217072,160.75826423217072,-63.55303289868437,-63.55303289868437,-63.55303289868437,-3.9125875476356313,-3.9125875476356313,-3.9125875476356313,-59.64044535104873,-59.64044535104873,-59.64044535104873,0.0,0.0,0.0,97.20523133348635
2020-09-17,160.7629244643415,-13.42781466783321,234.25805271913387,160.7629244643415,160.7629244643415,-53.708539004152435,-53.708539004152435,-53.708539004152435,3.7381347079930904,3.7381347079930904,3.7381347079930904,-57.44667371214552,-57.44667371214552,-57.44667371214552,0.0,0.0,0.0,107.05438546018905
2020-09-18,160.76758469651222,-16.519544109616017,222.84637287960516,160.76758469651222,160.76758469651222,-55.6432629752573,-55.6432629752573,-55.6432629752573,-0.6120553324967419,-0.6120553324967419,-0.6120553324967419,-55.031207642760556,-55.031207642760556,-55.031207642760556,0.0,0.0,0.0,105.12432172125492
2020-09-19,160.77224492868297,-2.55415323824708,243.42118780177012,160.77224492868297,160.77224492868297,-51.48280515668964,-51.48280515668964,-51.48280515668964,0.947188486718927,0.947188486718927,0.947188486718927,-52.42999364340857,-52.42999364340857,-52.42999364340857,0.0,0.0,0.0,109.28943977199333
2020-09-20,160.77690516085372,-17.89995034205901,227.90436031678664,160.77690516085372,160.77690516085372,-55.3048003812169,-55.3048003812169,-55.3048003812169,-5.624541959859908,-5.624541959859908,-5.624541959859908,-49.680258421356996,-49.680258421356996,-49.680258421356996,0.0,0.0,0.0,105.47210477963682
2020-09-21,160.78156539302447,-10.200259946217505,239.14800664336371,160.78156539302447,160.78156539302447,-44.17505988403868,-44.17505988403868,-44.17505988403868,2.6445288377016434,2.6445288377016434,2.6445288377016434,-46.819588721740324,-46.819588721740324,-46.819588721740324,0.0,0.0,0.0,116.60650550898578
2020-09-22,160.78622562519521,-6.287584162918217,244.0777444038791,160.78622562519521,160.78622562519521,-41.06573018065703,-41.06573018065703,-41.06573018065703,2.8193328075868718,2.8193328075868718,2.8193328075868718,-43.8850629882439,-43.8850629882439,-43.8850629882439,0.0,0.0,0.0,119.72049544453819
2020-09-23,160.79088585736594,-11.11445809427532,239.09223138236834,160.79088585736594,160.79088585736594,-44.82504196330044,-44.82504196330044,-44.82504196330044,-3.912587547660491,-3.912587547660491,-3.912587547660491,-40.91245441563996,-40.91245441563996,-40.91245441563996,0.0,0.0,0.0,115.9658438940655
2020-09-24,160.79554608953669,6.8825794133473615,246.2975025641271,160.79554608953669,160.79554608953669,-34.197387043145866,-34.197387043145866,-34.197387043145866,3.7381347079989617,3.7381347079989617,3.7381347079989617,-37.935521751144826,-37.935521751144826,-37.935521751144826,0.0,0.0,0.0,126.59815904639082
